"caso","semilla_instancia","configuracion","semilla","generacion","mejor_makespan"
"Base","proporcionada","D",3,31,280
"Base","proporcionada","D",3,32,280
"Base","proporcionada","D",3,33,280
"Base","proporcionada","D",3,34,280
"Base","proporcionada","D",3,35,280
"Base","proporcionada","D",3,36,280
"Base","proporcionada","D",3,37,280
"Base","proporcionada","D",3,38,280
"Base","proporcionada","D",3,39,280
"Base","proporcionada","D",3,40,280
"Base","proporcionada","D",3,41,280
"Base","proporcionada","D",3,42,280
"Base","proporcionada","D",3,43,280
"Base","proporcionada","D",3,44,280
"Base","proporcionada","D",3,45,280
"Base","proporcionada","D",3,46,280
"Base","proporcionada","D",3,47,280
"Base","proporcionada","D",3,48,280
"Base","proporcionada","D",3,49,280
"Base","proporcionada","D",3,50,280
"Mediano","1514","A",1,1,925
"Mediano","1514","A",1,2,887
"Mediano","1514","A",1,3,887
"Mediano","1514","A",1,4,853
"Mediano","1514","A",1,5,853
"Mediano","1514","A",1,6,827
"Mediano","1514","A",1,7,827
"Mediano","1514","A",1,8,812
"Mediano","1514","A",1,9,812
"Mediano","1514","A",1,10,812
"Mediano","1514","A",1,11,812
"Mediano","1514","A",1,12,804
"Mediano","1514","A",1,13,804
"Mediano","1514","A",1,14,804
"Mediano","1514","A",1,15,804
"Mediano","1514","A",1,16,804
"Mediano","1514","A",1,17,804
"Mediano","1514","A",1,18,804
"Mediano","1514","A",1,19,804
"Mediano","1514","A",1,20,804
"Mediano","1514","A",1,21,804
"Mediano","1514","A",1,22,804
"Mediano","1514","A",1,23,804
"Mediano","1514","A",1,24,804
"Mediano","1514","A",1,25,804
"Mediano","1514","A",1,26,804
"Mediano","1514","A",1,27,804
"Mediano","1514","A",1,28,804
"Mediano","1514","A",1,29,804
"Mediano","1514","A",1,30,804
"Mediano","1514","A",1,31,804
"Mediano","1514","A",1,32,804
"Mediano","1514","A",1,33,804
"Mediano","1514","A",1,34,804
"Mediano","1514","A",1,35,804
"Mediano","1514","A",1,36,804
"Mediano","1514","A",1,37,804
"Mediano","1514","A",1,38,804
"Mediano","1514","A",1,39,804
"Mediano","1514","A",1,40,804
"Mediano","1514","A",1,41,804
"Mediano","1514","A",1,42,804
"Mediano","1514","A",1,43,804
"Mediano","1514","A",1,44,804
"Mediano","1514","A",1,45,804
"Mediano","1514","A",1,46,804
"Mediano","1514","A",1,47,804
"Mediano","1514","A",1,48,804
"Mediano","1514","A",1,49,804
"Mediano","1514","A",1,50,804
"Mediano","1514","A",2,1,912
"Mediano","1514","A",2,2,909
"Mediano","1514","A",2,3,792
"Mediano","1514","A",2,4,792
"Mediano","1514","A",2,5,792
"Mediano","1514","A",2,6,792
"Mediano","1514","A",2,7,792
"Mediano","1514","A",2,8,792
"Mediano","1514","A",2,9,792
"Mediano","1514","A",2,10,792
"Mediano","1514","A",2,11,792
"Mediano","1514","A",2,12,792
"Mediano","1514","A",2,13,792
"Mediano","1514","A",2,14,792
"Mediano","1514","A",2,15,792
"Mediano","1514","A",2,16,792
"Mediano","1514","A",2,17,792
"Mediano","1514","A",2,18,792
"Mediano","1514","A",2,19,792
"Mediano","1514","A",2,20,792
"Mediano","1514","A",2,21,792
"Mediano","1514","A",2,22,792
"Mediano","1514","A",2,23,792
"Mediano","1514","A",2,24,792
"Mediano","1514","A",2,25,792
"Mediano","1514","A",2,26,792
"Mediano","1514","A",2,27,792
"Mediano","1514","A",2,28,792
"Mediano","1514","A",2,29,792
"Mediano","1514","A",2,30,792
"Mediano","1514","A",2,31,792
"Mediano","1514","A",2,32,792
"Mediano","1514","A",2,33,792
"Mediano","1514","A",2,34,792
"Mediano","1514","A",2,35,792
"Mediano","1514","A",2,36,792
"Mediano","1514","A",2,37,792
"Mediano","1514","A",2,38,792
"Mediano","1514","A",2,39,792
"Mediano","1514","A",2,40,792
"Mediano","1514","A",2,41,792
"Mediano","1514","A",2,42,792
"Mediano","1514","A",2,43,792
"Mediano","1514","A",2,44,792
"Mediano","1514","A",2,45,792
"Mediano","1514","A",2,46,792
"Mediano","1514","A",2,47,792
"Mediano","1514","A",2,48,792
"Mediano","1514","A",2,49,792
"Mediano","1514","A",2,50,792
"Mediano","1514","A",3,1,891
"Mediano","1514","A",3,2,891
"Mediano","1514","A",3,3,891
"Mediano","1514","A",3,4,891
"Mediano","1514","A",3,5,891
"Mediano","1514","A",3,6,887
"Mediano","1514","A",3,7,887
"Mediano","1514","A",3,8,871
"Mediano","1514","A",3,9,860
"Mediano","1514","A",3,10,860
"Mediano","1514","A",3,11,860
"Mediano","1514","A",3,12,860
"Mediano","1514","A",3,13,860
"Mediano","1514","A",3,14,860
"Mediano","1514","A",3,15,860
"Mediano","1514","A",3,16,857
"Mediano","1514","A",3,17,857
"Mediano","1514","A",3,18,857
"Mediano","1514","A",3,19,857
"Mediano","1514","A",3,20,857
"Mediano","1514","A",3,21,857
"Mediano","1514","A",3,22,857
"Mediano","1514","A",3,23,857
"Mediano","1514","A",3,24,857
"Mediano","1514","A",3,25,857
"Mediano","1514","A",3,26,857
"Mediano","1514","A",3,27,857
"Mediano","1514","A",3,28,857
"Mediano","1514","A",3,29,857
"Mediano","1514","A",3,30,857
"Mediano","1514","A",3,31,857
"Mediano","1514","A",3,32,857
"Mediano","1514","A",3,33,857
"Mediano","1514","A",3,34,857
"Mediano","1514","A",3,35,857
"Mediano","1514","A",3,36,857
"Mediano","1514","A",3,37,857
"Mediano","1514","A",3,38,857
"Mediano","1514","A",3,39,857
"Mediano","1514","A",3,40,857
"Mediano","1514","A",3,41,857
"Mediano","1514","A",3,42,857
"Mediano","1514","A",3,43,857
"Mediano","1514","A",3,44,857
"Mediano","1514","A",3,45,857
"Mediano","1514","A",3,46,857
"Mediano","1514","A",3,47,857
"Mediano","1514","A",3,48,857
"Mediano","1514","A",3,49,857
"Mediano","1514","A",3,50,857
"Mediano","1514","B",1,1,955
"Mediano","1514","B",1,2,897
"Mediano","1514","B",1,3,897
"Mediano","1514","B",1,4,843
"Mediano","1514","B",1,5,843
"Mediano","1514","B",1,6,843
"Mediano","1514","B",1,7,843
"Mediano","1514","B",1,8,843
"Mediano","1514","B",1,9,843
"Mediano","1514","B",1,10,843
"Mediano","1514","B",1,11,843
"Mediano","1514","B",1,12,843
"Mediano","1514","B",1,13,843
"Mediano","1514","B",1,14,843
"Mediano","1514","B",1,15,843
"Mediano","1514","B",1,16,843
"Mediano","1514","B",1,17,843
"Mediano","1514","B",1,18,843
"Mediano","1514","B",1,19,843
"Mediano","1514","B",1,20,843
"Mediano","1514","B",1,21,843
"Mediano","1514","B",1,22,843
"Mediano","1514","B",1,23,843
"Mediano","1514","B",1,24,843
"Mediano","1514","B",1,25,843
"Mediano","1514","B",1,26,843
"Mediano","1514","B",1,27,843
"Mediano","1514","B",1,28,843
